ModelWeb Browser Results

nrlmsise model listing
Required input parameters
Year= 2000, Month=  1, Day=  1, Hour= 1.50,
Time_type = Universal
Coordinate_type = Geographic
Latitude=   55.00, Longitude=   45.00, Height=   100.00
Prof. parameters: Start=     0.00 Stop=  1000.00 Step=     1.00

Optional input parameters:

Sunspot number(Rz12) =not specified
Ionospheric index(IG12) =not specified
Upper limit for Electron content = not specified
F peak model =  
Ne Topside =  
foF2 Storm model =  
Bottomside Thickness =  
F1 occurrence probability =  
D-Region Ne =  
Topside Te =  
Ion Composition =  

Selected output parameters:
1  Height, km
2  Mass_density, g/cm-3
  520.0 2.943E-16  891.4   891
  521.0 2.894E-16  891.4   891
  522.0 2.847E-16  891.4   891
  523.0 2.800E-16  891.4   891
  524.0 2.754E-16  891.4   891
  525.0 2.709E-16  891.4   891
  526.0 2.664E-16  891.4   891
  527.0 2.621E-16  891.4   891
  528.0 2.578E-16  891.4   891
  529.0 2.536E-16  891.4   891
  530.0 2.494E-16  891.4   891
  531.0 2.454E-16  891.4   891
  532.0 2.414E-16  891.4   891
  533.0 2.375E-16  891.4   891
  534.0 2.337E-16  891.4   891
  535.0 2.299E-16  891.4   891
  536.0 2.262E-16  891.4   891
  537.0 2.225E-16  891.4   891
  538.0 2.190E-16  891.4   891
  539.0 2.155E-16  891.4   891
  540.0 2.120E-16  891.4   891
  541.0 2.086E-16  891.4   891
  542.0 2.053E-16  891.4   891
  543.0 2.020E-16  891.4   891
  544.0 1.988E-16  891.4   891
  545.0 1.957E-16  891.4   891
  546.0 1.926E-16  891.4   891
  547.0 1.895E-16  891.4   891
  548.0 1.866E-16  891.4   891
  549.0 1.836E-16  891.4   891
  550.0 1.807E-16  891.4   891
  551.0 1.779E-16  891.4   891
  552.0 1.751E-16  891.4   891
  553.0 1.724E-16  891.4   891
  554.0 1.697E-16  891.4   891
  555.0 1.671E-16  891.4   891
  556.0 1.645E-16  891.4   891
  557.0 1.619E-16  891.4   891
  558.0 1.594E-16  891.4   891
  559.0 1.570E-16  891.4   891
  560.0 1.545E-16  891.4   891
  561.0 1.522E-16  891.4   891
  562.0 1.498E-16  891.4   891
  563.0 1.476E-16  891.4   891
  564.0 1.453E-16  891.4   891
  565.0 1.431E-16  891.4   891
  566.0 1.409E-16  891.4   891
  567.0 1.388E-16  891.4   891
  568.0 1.367E-16  891.4   891
  569.0 1.346E-16  891.4   891
  570.0 1.326E-16  891.4   891
  571.0 1.306E-16  891.4   891
  572.0 1.286E-16  891.4   891
  573.0 1.267E-16  891.4   891
  574.0 1.248E-16  891.4   891
  575.0 1.230E-16  891.4   891
  576.0 1.212E-16  891.4   891
  577.0 1.194E-16  891.4   891
  578.0 1.176E-16  891.4   891
  579.0 1.159E-16  891.4   891
  580.0 1.142E-16  891.4   891
  581.0 1.125E-16  891.4   891
  582.0 1.108E-16  891.4   891
